Ref,Package,PosX,PosY,Side,Rot
C1,C_0603,80.264,-88.646,top,90
C2,C_0603,74.676,-69.088,top,90
C3,C_0603,74.676,-72.39,top,270
Q1,SOT-23,81.28,-82.804,top,270
Q2,SOT-23,79.248,-96.266,top,270
Q3,SOT-23,85.09,-84.582,top,270
Q4,SOT-23,71.628,-96.266,top,0
Q5,SOT-23,86.868,-87.884,top,180
Q6,SOT-23,71.628,-87.884,top,0
Q7,SOT-23,86.868,-96.266,top,180
Q8,SOT-23,73.406,-84.582,top,270
Q9,SOT-23,79.248,-100.076,top,90
Q10,SOT-23,77.216,-82.804,top,270
R1,R_0603,78.232,-88.646,top,90
R2,R_0603,87.376,-69.342,top,90
R3,R_0603,81.534,-80.01,top,180
R4,R_0603,82.55,-94.742,top,0
R5,R_0603,85.344,-81.788,top,180
R6,R_0603,70.866,-92.202,top,90
R7,R_0603,87.884,-84.582,top,90
R8,R_0603,70.612,-84.582,top,90
R9,R_0603,87.63,-92.202,top,90
R10,R_0603,73.787,-81.915,top,180
R11,R_0603,75.946,-94.742,top,180
R12,R_0603,77.47,-80.01,top,180
R14,R_0603,72.136,-72.136,top,180
R15,R_0603,72.136,-73.914,top,180
R16,R_0603,72.136,-75.946,top,180
R17,R_0603,72.136,-77.7748,top,180
R18,R_0603,72.136,-68.326,top,180
R19,R_0603,72.136,-70.358,top,180
U1,3535,79.248,-92.202,top,0
U3,TSSOP-28_4.4x9.7mm_Pitch0.65mm,81.026,-72.136,top,90
